,full_name,dblp_pids,dblp_pages,team,arrival_year
0,Amazigh Amrane,['237_1676'],['https://dblp.org/pid/237/1676.html '],AA,2022
1,Aymeric Brody,,,MNSHS,2022
3,Alexandre Duret-Lutz,['43_6032'],['https://dblp.org/pid/43/6032.html'],AA,2007
4,Adrien Pommellet,['125_0224'],['https://dblp.org/pid/125/0224.html'],AA,2019
5,Abdul Qadir Khan,['373_0583'],['https://dblp.org/pid/373/0583.html'],SÉCUSYS,2026
6,Alessio Ragno,['314_5875'],['https://dblp.org/pid/314/5875.html'],IA,2026
7,Baptiste Esteban,['247_5302'],['https://dblp.org/pid/247/5302.html'],TIRF,2024
9,David Beserra,['166_8810'],['https://dblp.org/pid/166/8810.html'],SÉCUSYS,2023
10,Daniel Stan,['155_5080'],['https://dblp.org/pid/155/5080.html'],AA,2022
11,Didier Verna,['06_2458'],['https://dblp.org/pid/06/2458.html'],AA,1999
12,Elloh Adja,"['420_6553', '267_7364']","['https://dblp.org/pid/420/6553.html', 'https://dblp.org/pid/267/7364.html']",SÉCUSYS,2022
13,Edwin Carlinet,['123_4711'],['https://dblp.org/pid/123/4711.html'],TIRF,2017
15,Éric Moulines,['54_2358'],['https://dblp.org/pid/54/2358.html'],IA,2025
16,Élodie Puybareau,['162_5965'],['https://dblp.org/pid/162/5965.html'],TIRF,2018
19,Florian Cafiero,['249_2543'],['https://dblp.org/pid/249/2543.html'],MNSHS,2026
20,Florian Renkin,['276_0757'],['https://dblp.org/pid/276/0757.html'],AA,2026
21,Ghada Gharbi,['118_0800'],['https://dblp.org/pid/118/0800.html'],SÉCUSYS,2022
22,Gonzalo Romero-Garcia,['321_7746'],['https://dblp.org/pid/321/7746.html'],TIRF,2024
23,Guillaume Tochon,['121_6439'],['https://dblp.org/pid/121/6439.html'],TIRF,2016
24,Ghiles Ziat,['225_1596'],['https://dblp.org/pid/225/1596.html'],AA,2022
25,Hugo Bazille,['150_7498'],['https://dblp.org/pid/150/7498.html'],AA,2022
26,Idir Benouaret,['161_1010'],['https://dblp.org/pid/161/1010.html'],IA,2022
27,Joseph Chazalon,['00_7894'],['https://dblp.org/pid/00/7894.html'],TIRF,2019
29,Jonathan Fabrizio,['90_2799'],['https://dblp.org/pid/90/2799.html'],TIRF,2009
30,Jim Newton,['08_7850'],['https://dblp.org/pid/08/7850.html'],AA,2019
32,Jimmy Randrianasoa,['162_5925'],['https://dblp.org/pid/162/5925.html'],TIRF,2021
33,Loïca Avanthey,['69_8990'],['https://dblp.org/pid/69/8990.html'],TIRF,2017
34,Laurent Beaudoin,['44_8952'],['https://dblp.org/pid/44/8952.html'],TIRF,2017
35,Lamine Diop,['219_7167'],['https://dblp.org/pid/219/7167.html'],IA,2022
36,Laurence Denneulin,['274_2155'],['https://dblp.org/pid/274/2155.html'],IA,2023
37,Laetitia Laversa,['225_6395'],['https://dblp.org/pid/225/6395.html'],AA,2025
38,Ludovic Perret,['42_3351'],['https://dblp.org/pid/42/3351.html'],SÉCUSYS,2024
39,Loïc Rouquette,['273_7211'],['https://dblp.org/pid/273/7211.html'],SÉCUSYS,2023
42,Marc Espie,['87_4881'],['https://dblp.org/pid/87/4881.html'],SÉCUSYS,2015
43,Marc Plantevit,['46_2965'],['https://dblp.org/pid/46/2965.html'],IA,2022
44,Marie Puren,['221_9677'],['https://dblp.org/pid/221/9677.html'],MNSHS,2022
45,Martina Vigorito,['358_2836'],['https://dblp.org/pid/358/2836.html'],SÉCUSYS,2026
46,Nicolas Boutry,['150_5004'],['https://dblp.org/pid/150/5004.html'],TIRF,2021
49,Nidà Meddouri,['25_4391'],['https://dblp.org/pid/25/4391.html'],SÉCUSYS,2022
51,Narjes Ben Rajeb Robbana,['06_7130'],['https://dblp.org/pid/06/7130.html'],AA,2025
53,Pierre Parrend,['83_6244'],['https://dblp.org/pid/83/6244.html'],SÉCUSYS,2021
56,Réda Dehak,['84_8053'],['https://dblp.org/pid/84/8053.html'],IA,1999
59,Riadh Robbana,['15_5421'],['https://dblp.org/pid/15/5421.html'],SÉCUSYS,2025
60,Rémi Vaucher,['354_0029'],['https://dblp.org/pid/354/0029.html'],IA,2026
61,Simon Abelard,['207_8207'],['https://dblp.org/pid/207/8207.html'],SÉCUSYS,2025
64,Thierry Géraud,['21_1499'],['https://dblp.org/pid/21/1499.html'],TIRF,1997
67,Walid Ghandour,['53_9118'],['https://dblp.org/pid/53/9118.html'],SÉCUSYS,2024
